ModelID,Scope,FixedEffects,Predictors,Formula,AUC,LogLoss
mod_1637,global,C(Year) + C(Country),"['CONFLICTS_lag4', 'ECONOMIC_lag3']",Infectious_disease_binary ~ CONFLICTS_lag4 + ECONOMIC_lag3 + C(Year) + C(Country),0.8551711781971092,0.41000199640393786
mod_1638,global,C(Year) + C(Country),"['CONFLICTS_lag4', 'ECONOMIC_lag4']",Infectious_disease_binary ~ CONFLICTS_lag4 + ECONOMIC_lag4 + C(Year) + C(Country),0.8551205914434613,0.4100382425982854
mod_1643,global,C(Year) + C(Country),"['CONFLICTS_lag4', 'GEOPHYSICAL_lag4']",Infectious_disease_binary ~ CONFLICTS_lag4 + GEOPHYSICAL_lag4 + C(Year) + C(Country),0.8548818851996859,0.410103591490415
mod_1644,global,C(Year) + C(Country),"['CONFLICTS_lag4', 'GEOPHYSICAL_lag5']",Infectious_disease_binary ~ CONFLICTS_lag4 + GEOPHYSICAL_lag5 + C(Year) + C(Country),0.8546132538068023,0.4173291804620317
mod_1645,global,C(Year) + C(Country),"['CONFLICTS_lag4', 'TECHNOLOGICAL_lag1']",Infectious_disease_binary ~ CONFLICTS_lag4 + TECHNOLOGICAL_lag1 + C(Year) + C(Country),0.8550078251384549,0.4102095365743222
mod_1647,global,C(Year) + C(Country),"['CONFLICTS_lag4', 'TECHNOLOGICAL_lag3']",Infectious_disease_binary ~ CONFLICTS_lag4 + TECHNOLOGICAL_lag3 + C(Year) + C(Country),0.8552359924752204,0.4101312599967857
mod_1648,global,C(Year) + C(Country),"['CONFLICTS_lag4', 'TECHNOLOGICAL_lag4']",Infectious_disease_binary ~ CONFLICTS_lag4 + TECHNOLOGICAL_lag4 + C(Year) + C(Country),0.8564390087104067,0.40839585005454043
mod_1650,global,C(Year) + C(Country),"['CONFLICTS_lag5', 'ECOLOGICAL_lag1']",Infectious_disease_binary ~ CONFLICTS_lag5 + ECOLOGICAL_lag1 + C(Year) + C(Country),0.853515958354668,0.4182544482402379
mod_1651,global,C(Year) + C(Country),"['CONFLICTS_lag5', 'ECOLOGICAL_lag2']",Infectious_disease_binary ~ CONFLICTS_lag5 + ECOLOGICAL_lag2 + C(Year) + C(Country),0.8530223772159257,0.4188243014123705
mod_1652,global,C(Year) + C(Country),"['CONFLICTS_lag5', 'ECOLOGICAL_lag3']",Infectious_disease_binary ~ CONFLICTS_lag5 + ECOLOGICAL_lag3 + C(Year) + C(Country),0.8533550831937928,0.4182794449796325
mod_1653,global,C(Year) + C(Country),"['CONFLICTS_lag5', 'ECOLOGICAL_lag4']",Infectious_disease_binary ~ CONFLICTS_lag5 + ECOLOGICAL_lag4 + C(Year) + C(Country),0.8535228777164261,0.4179842203081388
mod_1654,global,C(Year) + C(Country),"['CONFLICTS_lag5', 'ECOLOGICAL_lag5']",Infectious_disease_binary ~ CONFLICTS_lag5 + ECOLOGICAL_lag5 + C(Year) + C(Country),0.8532593653561396,0.41818843791983756
mod_1657,global,C(Year) + C(Country),"['CONFLICTS_lag5', 'ECONOMIC_lag3']",Infectious_disease_binary ~ CONFLICTS_lag5 + ECONOMIC_lag3 + C(Year) + C(Country),0.8534969301098333,0.41792063820416225
mod_1659,global,C(Year) + C(Country),"['CONFLICTS_lag5', 'ECONOMIC_lag5']",Infectious_disease_binary ~ CONFLICTS_lag5 + ECONOMIC_lag5 + C(Year) + C(Country),0.8533233694524018,0.4182427597240616
mod_1660,global,C(Year) + C(Country),"['CONFLICTS_lag5', 'GEOPHYSICAL_lag1']",Infectious_disease_binary ~ CONFLICTS_lag5 + GEOPHYSICAL_lag1 + C(Year) + C(Country),0.8533268291332807,0.41812986689587306
mod_1661,global,C(Year) + C(Country),"['CONFLICTS_lag5', 'GEOPHYSICAL_lag2']",Infectious_disease_binary ~ CONFLICTS_lag5 + GEOPHYSICAL_lag2 + C(Year) + C(Country),0.8533320186545993,0.4182891578243084
mod_1662,global,C(Year) + C(Country),"['CONFLICTS_lag5', 'GEOPHYSICAL_lag3']",Infectious_disease_binary ~ CONFLICTS_lag5 + GEOPHYSICAL_lag3 + C(Year) + C(Country),0.8537102770973739,0.4178665436731975
mod_1663,global,C(Year) + C(Country),"['CONFLICTS_lag5', 'GEOPHYSICAL_lag4']",Infectious_disease_binary ~ CONFLICTS_lag5 + GEOPHYSICAL_lag4 + C(Year) + C(Country),0.8535868818126884,0.41783400034436124
mod_1665,global,C(Year) + C(Country),"['CONFLICTS_lag5', 'TECHNOLOGICAL_lag1']",Infectious_disease_binary ~ CONFLICTS_lag5 + TECHNOLOGICAL_lag1 + C(Year) + C(Country),0.8534150509956961,0.41809513508341245
