ModelID,Scope,FixedEffects,Predictors,Formula,AUC,LogLoss
mod_5085,Asia,C(Continent),"['GEOPHYSICAL_lag2', 'TECHNOLOGICAL_lag4']",Infectious_disease_binary ~ GEOPHYSICAL_lag2 + TECHNOLOGICAL_lag4 + C(Continent),0.6151798746458316,0.5323113850978421
mod_5086,Asia,C(Continent),"['GEOPHYSICAL_lag2', 'TECHNOLOGICAL_lag5']",Infectious_disease_binary ~ GEOPHYSICAL_lag2 + TECHNOLOGICAL_lag5 + C(Continent),0.6463457424047926,0.5410517623505126
mod_5087,Asia,C(Continent),"['GEOPHYSICAL_lag3', 'GEOPHYSICAL_lag4']",Infectious_disease_binary ~ GEOPHYSICAL_lag3 + GEOPHYSICAL_lag4 + C(Continent),0.5843252651872898,0.5528966239129551
mod_5088,Asia,C(Continent),"['GEOPHYSICAL_lag3', 'GEOPHYSICAL_lag5']",Infectious_disease_binary ~ GEOPHYSICAL_lag3 + GEOPHYSICAL_lag5 + C(Continent),0.5973256311510483,0.5587906995372849
mod_5089,Asia,C(Continent),"['GEOPHYSICAL_lag3', 'TECHNOLOGICAL_lag1']",Infectious_disease_binary ~ GEOPHYSICAL_lag3 + TECHNOLOGICAL_lag1 + C(Continent),0.6169983243317104,0.5303076122922298
mod_5090,Asia,C(Continent),"['GEOPHYSICAL_lag3', 'TECHNOLOGICAL_lag2']",Infectious_disease_binary ~ GEOPHYSICAL_lag3 + TECHNOLOGICAL_lag2 + C(Continent),0.6291127588116419,0.5285773464617923
mod_5091,Asia,C(Continent),"['GEOPHYSICAL_lag3', 'TECHNOLOGICAL_lag3']",Infectious_disease_binary ~ GEOPHYSICAL_lag3 + TECHNOLOGICAL_lag3 + C(Continent),0.6260742615912376,0.5248366998943693
mod_5092,Asia,C(Continent),"['GEOPHYSICAL_lag3', 'TECHNOLOGICAL_lag4']",Infectious_disease_binary ~ GEOPHYSICAL_lag3 + TECHNOLOGICAL_lag4 + C(Continent),0.62104560675008,0.5323801972431601
mod_5093,Asia,C(Continent),"['GEOPHYSICAL_lag3', 'TECHNOLOGICAL_lag5']",Infectious_disease_binary ~ GEOPHYSICAL_lag3 + TECHNOLOGICAL_lag5 + C(Continent),0.6436585365853658,0.5403733162344461
mod_5094,Asia,C(Continent),"['GEOPHYSICAL_lag4', 'GEOPHYSICAL_lag5']",Infectious_disease_binary ~ GEOPHYSICAL_lag4 + GEOPHYSICAL_lag5 + C(Continent),0.598502353444587,0.5584489337233094
mod_5095,Asia,C(Continent),"['GEOPHYSICAL_lag4', 'TECHNOLOGICAL_lag1']",Infectious_disease_binary ~ GEOPHYSICAL_lag4 + TECHNOLOGICAL_lag1 + C(Continent),0.6137475900934302,0.5419252078652115
mod_5096,Asia,C(Continent),"['GEOPHYSICAL_lag4', 'TECHNOLOGICAL_lag2']",Infectious_disease_binary ~ GEOPHYSICAL_lag4 + TECHNOLOGICAL_lag2 + C(Continent),0.6226418039760531,0.539572398499965
mod_5097,Asia,C(Continent),"['GEOPHYSICAL_lag4', 'TECHNOLOGICAL_lag3']",Infectious_disease_binary ~ GEOPHYSICAL_lag4 + TECHNOLOGICAL_lag3 + C(Continent),0.6267591342288689,0.5357964536692259
mod_5098,Asia,C(Continent),"['GEOPHYSICAL_lag4', 'TECHNOLOGICAL_lag4']",Infectious_disease_binary ~ GEOPHYSICAL_lag4 + TECHNOLOGICAL_lag4 + C(Continent),0.6248234036076399,0.5317401435675
mod_5099,Asia,C(Continent),"['GEOPHYSICAL_lag4', 'TECHNOLOGICAL_lag5']",Infectious_disease_binary ~ GEOPHYSICAL_lag4 + TECHNOLOGICAL_lag5 + C(Continent),0.636127513906718,0.5399828454704112
mod_5100,Asia,C(Continent),"['GEOPHYSICAL_lag5', 'TECHNOLOGICAL_lag1']",Infectious_disease_binary ~ GEOPHYSICAL_lag5 + TECHNOLOGICAL_lag1 + C(Continent),0.6262088147197262,0.5495160749344489
mod_5101,Asia,C(Continent),"['GEOPHYSICAL_lag5', 'TECHNOLOGICAL_lag2']",Infectious_disease_binary ~ GEOPHYSICAL_lag5 + TECHNOLOGICAL_lag2 + C(Continent),0.6354813863928113,0.5482198178787481
mod_5102,Asia,C(Continent),"['GEOPHYSICAL_lag5', 'TECHNOLOGICAL_lag3']",Infectious_disease_binary ~ GEOPHYSICAL_lag5 + TECHNOLOGICAL_lag3 + C(Continent),0.6419341035515618,0.5438464819744018
mod_5103,Asia,C(Continent),"['GEOPHYSICAL_lag5', 'TECHNOLOGICAL_lag4']",Infectious_disease_binary ~ GEOPHYSICAL_lag5 + TECHNOLOGICAL_lag4 + C(Continent),0.6343303380402225,0.5414059960688797
mod_5104,Asia,C(Continent),"['GEOPHYSICAL_lag5', 'TECHNOLOGICAL_lag5']",Infectious_disease_binary ~ GEOPHYSICAL_lag5 + TECHNOLOGICAL_lag5 + C(Continent),0.6488489516474112,0.5384084996247465
mod_5105,Asia,C(Continent),"['TECHNOLOGICAL_lag1', 'TECHNOLOGICAL_lag2']",Infectious_disease_binary ~ TECHNOLOGICAL_lag1 + TECHNOLOGICAL_lag2 + C(Continent),0.6182543699915197,0.5240147663533267
mod_5106,Asia,C(Continent),"['TECHNOLOGICAL_lag1', 'TECHNOLOGICAL_lag3']",Infectious_disease_binary ~ TECHNOLOGICAL_lag1 + TECHNOLOGICAL_lag3 + C(Continent),0.6285374220598494,0.5256861617948501
mod_5107,Asia,C(Continent),"['TECHNOLOGICAL_lag1', 'TECHNOLOGICAL_lag4']",Infectious_disease_binary ~ TECHNOLOGICAL_lag1 + TECHNOLOGICAL_lag4 + C(Continent),0.6177907693748682,0.5319710814555737
mod_5108,Asia,C(Continent),"['TECHNOLOGICAL_lag1', 'TECHNOLOGICAL_lag5']",Infectious_disease_binary ~ TECHNOLOGICAL_lag1 + TECHNOLOGICAL_lag5 + C(Continent),0.653898160034232,0.5405754509666085
mod_5109,Asia,C(Continent),"['TECHNOLOGICAL_lag2', 'TECHNOLOGICAL_lag3']",Infectious_disease_binary ~ TECHNOLOGICAL_lag2 + TECHNOLOGICAL_lag3 + C(Continent),0.6238987694985222,0.5257191945451888
mod_5110,Asia,C(Continent),"['TECHNOLOGICAL_lag2', 'TECHNOLOGICAL_lag4']",Infectious_disease_binary ~ TECHNOLOGICAL_lag2 + TECHNOLOGICAL_lag4 + C(Continent),0.6149886431933311,0.5325332880308975
mod_5111,Asia,C(Continent),"['TECHNOLOGICAL_lag2', 'TECHNOLOGICAL_lag5']",Infectious_disease_binary ~ TECHNOLOGICAL_lag2 + TECHNOLOGICAL_lag5 + C(Continent),0.6407573812580231,0.5406162524678123
mod_5112,Asia,C(Continent),"['TECHNOLOGICAL_lag3', 'TECHNOLOGICAL_lag4']",Infectious_disease_binary ~ TECHNOLOGICAL_lag3 + TECHNOLOGICAL_lag4 + C(Continent),0.6363675390463405,0.532910925139035
mod_5113,Asia,C(Continent),"['TECHNOLOGICAL_lag3', 'TECHNOLOGICAL_lag5']",Infectious_disease_binary ~ TECHNOLOGICAL_lag3 + TECHNOLOGICAL_lag5 + C(Continent),0.6489216944801026,0.541370310300578
mod_5114,Asia,C(Continent),"['TECHNOLOGICAL_lag4', 'TECHNOLOGICAL_lag5']",Infectious_disease_binary ~ TECHNOLOGICAL_lag4 + TECHNOLOGICAL_lag5 + C(Continent),0.6486649550706034,0.5411265874280897
mod_5115,Asia,C(Year) + C(Country),['CLIMATIC_lag1'],Infectious_disease_binary ~ CLIMATIC_lag1 + C(Year) + C(Country),0.8904445032730074,0.33044650440448703
mod_5117,Asia,C(Year) + C(Country),['CLIMATIC_lag3'],Infectious_disease_binary ~ CLIMATIC_lag3 + C(Year) + C(Country),0.8924479859617832,0.3336148748242068
